,True Wind Speed (knot),4,6,8,10,12,14,16,20,25
Beating Targets,Vs (knot),3.42,4.57,5.28,5.71,5.90,6.03,6.10,6.21,6.38
,TWA (º),45.8,42.8,40.8,40.6,39.1,37,37.8,36.3,37
,VMG (knot),2.39,3.35,4.00,4.33,4.58,4.79,4.88,4.98,5.12
True Wind Angle,45,3.38,4.72,5.58,6.02,6.30,6.45,6.55,6.69,6.75
,52,3.76,5.10,5.94,6.36,6.60,6.72,6.82,6.95,7.06
,60,4.07,5.40,6.19,6.58,6.84,6.97,7.07,7.21,7.31
,70,4.30,5.62,6.36,6.74,7.02,7.20,7.31,7.46,7.60
,80,4.37,5.70,6.43,6.80,7.14,7.34,7.50,7.69,7.86
,90,4.32,5.65,6.52,6.94,7.16,7.41,7.62,7.90,8.12
,100,4.24,5.74,6.58,7.01,7.27,7.43,7.62,8.04,8.36
,110,4.21,5.67,6.51,6.99,7.35,7.56,7.73,8.01,8.53
,120,3.99,5.44,6.34,6.88,7.34,7.64,7.89,8.24,8.61
,135,3.39,4.85,5.93,6.56,7.10,7.47,7.82,8.49,9.29
,150,2.72,4.05,5.14,5.97,6.64,7.05,7.41,8.00,9.12
Running Targets,Vs (knot),3.2,4.44,5.36,6.16,6.55,6.55,6.93,7.59,8.50
,TWA (º),140.2,143.9,147.7,151.7,163.4,168.9,171.1,171.9,169.3
,VMG (knot),2.46,3.66,4.46,5.17,5.82,6.36,6.85,7.51,8.35
,,,,,,,,,,
,,Max Reaching Speed (knot),,,,,,,,
,,4,6,8,10,12,14,16,20,25
,Vs (knot),4.37,5.82,6.63,7.04,7.35,7.64,7.89,8.49,9.29
,,,,,,,,,,
,Upwind Sail Area :,,Main (34 m2) + Genoa (26.2 m2),,60.2,,,,,
,Downwind Sail Area :,,Main (34 m2) + Spi (84.9 m2),,118.9,,,,,
,,,,,,,,,,
,TWS measured at masthead,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,D1188 -Hallberg-Rassy 342 (Half Load),,,,,,,,,            VPP Output
